Zip,County Name,CEC Climate Zone
95543,Del Norte,1
95567,Del Norte,1
95531,Del Norte,1
00049,Del Norte,1
95548,Del Norte,1
95546,Humboldt,1
95555,Humboldt,1
00054,Humboldt,1
95570,Humboldt,1
95525,Humboldt,1
95519,Humboldt,1
95521,Humboldt,1
95550,Humboldt,1
95524,Humboldt,1
95503,Humboldt,1
95564,Humboldt,1
95501,Humboldt,1
95549,Humboldt,1
95551,Humboldt,1
95540,Humboldt,1
95536,Humboldt,1
95547,Humboldt,1
95528,Humboldt,1
95565,Humboldt,1
95562,Humboldt,1
95569,Humboldt,1
95554,Humboldt,1
95558,Humboldt,1
95542,Humboldt,1
95589,Humboldt,1
95560,Humboldt,1
94952,Marin,1
95587,Mendocino,1
95589,Mendocino,1
95585,Mendocino,1
95488,Mendocino,1
95417,Mendocino,1
95490,Mendocino,1
95437,Mendocino,1
00022,Mendocino,1
95427,Mendocino,1
95470,Mendocino,1
95460,Mendocino,1
95420,Mendocino,1
95456,Mendocino,1
95410,Mendocino,1
95466,Mendocino,1
95432,Mendocino,1
95459,Mendocino,1
95468,Mendocino,1
95445,Mendocino,1
95421,Sonoma,1
95497,Sonoma,1
95448,Sonoma,1
95412,Sonoma,1
95480,Sonoma,1
95446,Sonoma,1
95450,Sonoma,1
95472,Sonoma,1
95462,Sonoma,1
95465,Sonoma,1
94923,Sonoma,1
94922,Sonoma,1
94952,Sonoma,1
94972,Sonoma,1
95423,Colusa,2
95979,Colusa,2
95987,Colusa,2
00047,Glenn,2
95939,Glenn,2
00050,Humboldt,2
00054,Humboldt,2
95511,Humboldt,2
95514,Humboldt,2
95525,Humboldt,2
95526,Humboldt,2
95528,Humboldt,2
95542,Humboldt,2
95546,Humboldt,2
95549,Humboldt,2
95550,Humboldt,2
95554,Humboldt,2
95556,Humboldt,2
95560,Humboldt,2
95563,Humboldt,2
95565,Humboldt,2
95569,Humboldt,2
95573,Humboldt,2
95589,Humboldt,2
96046,Humboldt,2
00048,Lake,2
95422,Lake,2
95423,Lake,2
95441,Lake,2
95443,Lake,2
95451,Lake,2
95453,Lake,2
95457,Lake,2
95458,Lake,2
95461,Lake,2
95464,Lake,2
95467,Lake,2
95469,Lake,2
95485,Lake,2
95493,Lake,2
94901,Marin,2
94903,Marin,2
94904,Marin,2
94925,Marin,2
94930,Marin,2
94939,Marin,2
94945,Marin,2
94946,Marin,2
94947,Marin,2
94949,Marin,2
94952,Marin,2
94960,Marin,2
94963,Marin,2
94964,Marin,2
94973,Marin,2
00022,Mendocino,2
95415,Mendocino,2
95417,Mendocino,2
95427,Mendocino,2
95428,Mendocino,2
95429,Mendocino,2
95437,Mendocino,2
95445,Mendocino,2
95449,Mendocino,2
95454,Mendocino,2
95459,Mendocino,2
95466,Mendocino,2
95468,Mendocino,2
95469,Mendocino,2
95470,Mendocino,2
95482,Mendocino,2
95490,Mendocino,2
95494,Mendocino,2
95585,Mendocino,2
95587,Mendocino,2
94503,Napa,2
94508,Napa,2
94515,Napa,2
94558,Napa,2
94559,Napa,2
94567,Napa,2
94574,Napa,2
94576,Napa,2
94599,Napa,2
95461,Napa,2
95476,Napa,2
95688,Napa,2
00049,Siskiyou,2
95568,Siskiyou,2
96031,Siskiyou,2
94503,Solano,2
94534,Solano,2
94589,Solano,2
94591,Solano,2
95688,Solano,2
94515,Sonoma,2
94558,Sonoma,2
94574,Sonoma,2
94922,Sonoma,2
94928,Sonoma,2
94931,Sonoma,2
94951,Sonoma,2
94952,Sonoma,2
94954,Sonoma,2
94972,Sonoma,2
95401,Sonoma,2
95403,Sonoma,2
95404,Sonoma,2
95405,Sonoma,2
95407,Sonoma,2
95409,Sonoma,2
95412,Sonoma,2
95421,Sonoma,2
95425,Sonoma,2
95436,Sonoma,2
95439,Sonoma,2
95441,Sonoma,2
95442,Sonoma,2
95444,Sonoma,2
95446,Sonoma,2
95448,Sonoma,2
95452,Sonoma,2
95461,Sonoma,2
95462,Sonoma,2
95465,Sonoma,2
95472,Sonoma,2
95476,Sonoma,2
95492,Sonoma,2
00039,Trinity,2
95526,Trinity,2
95527,Trinity,2
95542,Trinity,2
95552,Trinity,2
95563,Trinity,2
95595,Trinity,2
96046,Trinity,2
95606,Yolo,2
95607,Yolo,2
95679,Yolo,2
95694,Yolo,2
94501,Alameda,3
94502,Alameda,3
94536,Alameda,3
94538,Alameda,3
94539,Alameda,3
94541,Alameda,3
94542,Alameda,3
94544,Alameda,3
94545,Alameda,3
94546,Alameda,3
94552,Alameda,3
94555,Alameda,3
94560,Alameda,3
94568,Alameda,3
94577,Alameda,3
94578,Alameda,3
94579,Alameda,3
94580,Alameda,3
94583,Alameda,3
94586,Alameda,3
94587,Alameda,3
94588,Alameda,3
94601,Alameda,3
94602,Alameda,3
94603,Alameda,3
94605,Alameda,3
94606,Alameda,3
94607,Alameda,3
94608,Alameda,3
94609,Alameda,3
94610,Alameda,3
94611,Alameda,3
94612,Alameda,3
94613,Alameda,3
94618,Alameda,3
94619,Alameda,3
94621,Alameda,3
94702,Alameda,3
94703,Alameda,3
94704,Alameda,3
94705,Alameda,3
94706,Alameda,3
94707,Alameda,3
94708,Alameda,3
94709,Alameda,3
94710,Alameda,3
94720,Alameda,3
95035,Alameda,3
94525,Contra Costa,3
94530,Contra Costa,3
94547,Contra Costa,3
94553,Contra Costa,3
94556,Contra Costa,3
94563,Contra Costa,3
94564,Contra Costa,3
94572,Contra Costa,3
94583,Contra Costa,3
94611,Contra Costa,3
94707,Contra Costa,3
94708,Contra Costa,3
94801,Contra Costa,3
94803,Contra Costa,3
94804,Contra Costa,3
94805,Contra Costa,3
94806,Contra Costa,3
94904,Marin,3
94920,Marin,3
94924,Marin,3
94925,Marin,3
94929,Marin,3
94930,Marin,3
94933,Marin,3
94937,Marin,3
94938,Marin,3
94939,Marin,3
94940,Marin,3
94941,Marin,3
94946,Marin,3
94952,Marin,3
94956,Marin,3
94963,Marin,3
94965,Marin,3
94970,Marin,3
94971,Marin,3
94973,Marin,3
93426,Monterey,3
93901,Monterey,3
93905,Monterey,3
93906,Monterey,3
93907,Monterey,3
93908,Monterey,3
93920,Monterey,3
93923,Monterey,3
93924,Monterey,3
93925,Monterey,3
93926,Monterey,3
93927,Monterey,3
93930,Monterey,3
93932,Monterey,3
93933,Monterey,3
93940,Monterey,3
93943,Monterey,3
93950,Monterey,3
93953,Monterey,3
93955,Monterey,3
93960,Monterey,3
95004,Monterey,3
95012,Monterey,3
95039,Monterey,3
95076,Monterey,3
94503,Napa,3
94559,Napa,3
95004,San Benito,3
95023,San Benito,3
95043,San Benito,3
95045,San Benito,3
94014,San Francisco,3
94015,San Francisco,3
94102,San Francisco,3
94103,San Francisco,3
94104,San Francisco,3
94105,San Francisco,3
94107,San Francisco,3
94108,San Francisco,3
94109,San Francisco,3
94110,San Francisco,3
94111,San Francisco,3
94112,San Francisco,3
94114,San Francisco,3
94115,San Francisco,3
94116,San Francisco,3
94117,San Francisco,3
94118,San Francisco,3
94121,San Francisco,3
94122,San Francisco,3
94123,San Francisco,3
94124,San Francisco,3
94127,San Francisco,3
94129,San Francisco,3
94130,San Francisco,3
94131,San Francisco,3
94132,San Francisco,3
94133,San Francisco,3
94134,San Francisco,3
94158,San Francisco,3
94501,San Francisco,3
94920,San Francisco,3
94002,San Mateo,3
94005,San Mateo,3
94010,San Mateo,3
94014,San Mateo,3
94015,San Mateo,3
94019,San Mateo,3
94020,San Mateo,3
94021,San Mateo,3
94025,San Mateo,3
94027,San Mateo,3
94028,San Mateo,3
94030,San Mateo,3
94038,San Mateo,3
94044,San Mateo,3
94060,San Mateo,3
94061,San Mateo,3
94062,San Mateo,3
94063,San Mateo,3
94065,San Mateo,3
94066,San Mateo,3
94070,San Mateo,3
94074,San Mateo,3
94080,San Mateo,3
94112,San Mateo,3
94128,San Mateo,3
94134,San Mateo,3
94303,San Mateo,3
94401,San Mateo,3
94402,San Mateo,3
94403,San Mateo,3
94404,San Mateo,3
95006,San Mateo,3
94020,Santa Clara,3
94022,Santa Clara,3
94028,Santa Clara,3
94043,Santa Clara,3
94089,Santa Clara,3
94301,Santa Clara,3
94303,Santa Clara,3
94304,Santa Clara,3
94539,Santa Clara,3
95002,Santa Clara,3
95014,Santa Clara,3
95020,Santa Clara,3
95033,Santa Clara,3
95035,Santa Clara,3
95037,Santa Clara,3
95070,Santa Clara,3
95076,Santa Clara,3
95134,Santa Clara,3
94060,Santa Cruz,3
95003,Santa Cruz,3
95005,Santa Cruz,3
95006,Santa Cruz,3
95010,Santa Cruz,3
95017,Santa Cruz,3
95018,Santa Cruz,3
95019,Santa Cruz,3
95033,Santa Cruz,3
95060,Santa Cruz,3
95062,Santa Cruz,3
95064,Santa Cruz,3
95065,Santa Cruz,3
95066,Santa Cruz,3
95073,Santa Cruz,3
95076,Santa Cruz,3
94589,Solano,3
94590,Solano,3
94591,Solano,3
94592,Solano,3
94922,Sonoma,3
94923,Sonoma,3
94952,Sonoma,3
94972,Sonoma,3
95476,Sonoma,3
94550,Alameda,4
94586,Alameda,4
94539,Alameda,4
94538,Alameda,4
95035,Alameda,4
93622,Fresno,4
93640,Fresno,4
95043,Fresno,4
93210,Fresno,4
93249,Kern,4
93461,Kern,4
93251,Kern,4
93224,Kern,4
93268,Kern,4
93252,Kern,4
93204,Kings,4
93451,Kings,4
95322,Merced,4
93635,Merced,4
95004,Monterey,4
93907,Monterey,4
93908,Monterey,4
93925,Monterey,4
93926,Monterey,4
93924,Monterey,4
93960,Monterey,4
93930,Monterey,4
93927,Monterey,4
93920,Monterey,4
93450,Monterey,4
93932,Monterey,4
93451,Monterey,4
93426,Monterey,4
95023,San Benito,4
95045,San Benito,4
95004,San Benito,4
95043,San Benito,4
93452,San Luis Obispo,4
93426,San Luis Obispo,4
93451,San Luis Obispo,4
93461,San Luis Obispo,4
93446,San Luis Obispo,4
93428,San Luis Obispo,4
93465,San Luis Obispo,4
93432,San Luis Obispo,4
93430,San Luis Obispo,4
93422,San Luis Obispo,4
93453,San Luis Obispo,4
93442,San Luis Obispo,4
93405,San Luis Obispo,4
93251,San Luis Obispo,4
93401,San Luis Obispo,4
93420,San Luis Obispo,4
93454,San Luis Obispo,4
93252,San Luis Obispo,4
94062,San Mateo,4
94025,San Mateo,4
94303,San Mateo,4
94028,San Mateo,4
94020,San Mateo,4
93254,Santa Barbara,4
00032,Santa Barbara,4
93252,Santa Barbara,4
95035,Santa Clara,4
95140,Santa Clara,4
94550,Santa Clara,4
95134,Santa Clara,4
95002,Santa Clara,4
94089,Santa Clara,4
94539,Santa Clara,4
94303,Santa Clara,4
94301,Santa Clara,4
94043,Santa Clara,4
94304,Santa Clara,4
94305,Santa Clara,4
94035,Santa Clara,4
95132,Santa Clara,4
94306,Santa Clara,4
95054,Santa Clara,4
94040,Santa Clara,4
95131,Santa Clara,4
95127,Santa Clara,4
94022,Santa Clara,4
94085,Santa Clara,4
94041,Santa Clara,4
95133,Santa Clara,4
94086,Santa Clara,4
94024,Santa Clara,4
95112,Santa Clara,4
95050,Santa Clara,4
95051,Santa Clara,4
95110,Santa Clara,4
94087,Santa Clara,4
94028,Santa Clara,4
95116,Santa Clara,4
95148,Santa Clara,4
95053,Santa Clara,4
95126,Santa Clara,4
95122,Santa Clara,4
95135,Santa Clara,4
95113,Santa Clara,4
95014,Santa Clara,4
95192,Santa Clara,4
95128,Santa Clara,4
95117,Santa Clara,4
95125,Santa Clara,4
95129,Santa Clara,4
95121,Santa Clara,4
95111,Santa Clara,4
94020,Santa Clara,4
95008,Santa Clara,4
95130,Santa Clara,4
95070,Santa Clara,4
95138,Santa Clara,4
95136,Santa Clara,4
95037,Santa Clara,4
95124,Santa Clara,4
95118,Santa Clara,4
95032,Santa Clara,4
95123,Santa Clara,4
95030,Santa Clara,4
95120,Santa Clara,4
95119,Santa Clara,4
95139,Santa Clara,4
95013,Santa Clara,4
95033,Santa Clara,4
95141,Santa Clara,4
95023,Santa Clara,4
95020,Santa Clara,4
95046,Santa Clara,4
93635,Santa Clara,4
95076,Santa Clara,4
95033,Santa Cruz,4
95076,Santa Cruz,4
95363,Stanislaus,4
95360,Stanislaus,4
93920,Monterey,5
93452,San Luis Obispo,5
93446,San Luis Obispo,5
93428,San Luis Obispo,5
93465,San Luis Obispo,5
93430,San Luis Obispo,5
93453,San Luis Obispo,5
93442,San Luis Obispo,5
93405,San Luis Obispo,5
93402,San Luis Obispo,5
93401,San Luis Obispo,5
93407,San Luis Obispo,5
93420,San Luis Obispo,5
93449,San Luis Obispo,5
93433,San Luis Obispo,5
93445,San Luis Obispo,5
93444,San Luis Obispo,5
93454,San Luis Obispo,5
93458,San Luis Obispo,5
93254,Santa Barbara,5
93454,Santa Barbara,5
00032,Santa Barbara,5
93458,Santa Barbara,5
93434,Santa Barbara,5
93455,Santa Barbara,5
93252,Santa Barbara,5
93429,Santa Barbara,5
93460,Santa Barbara,5
93441,Santa Barbara,5
93437,Santa Barbara,5
93436,Santa Barbara,5
93427,Santa Barbara,5
93105,Santa Barbara,5
93463,Santa Barbara,5
93117,Santa Barbara,5
93108,Santa Barbara,5
93111,Santa Barbara,5
93013,Santa Barbara,5
93023,Ventura,5
90024,Los Angeles,6
90025,Los Angeles,6
90034,Los Angeles,6
90045,Los Angeles,6
90049,Los Angeles,6
90056,Los Angeles,6
90064,Los Angeles,6
90066,Los Angeles,6
90073,Los Angeles,6
90077,Los Angeles,6
90094,Los Angeles,6
90230,Los Angeles,6
90232,Los Angeles,6
90245,Los Angeles,6
90248,Los Angeles,6
90250,Los Angeles,6
90254,Los Angeles,6
90260,Los Angeles,6
90263,Los Angeles,6
90265,Los Angeles,6
90266,Los Angeles,6
90272,Los Angeles,6
90274,Los Angeles,6
90275,Los Angeles,6
90277,Los Angeles,6
90278,Los Angeles,6
90290,Los Angeles,6
90291,Los Angeles,6
90292,Los Angeles,6
90293,Los Angeles,6
90301,Los Angeles,6
90302,Los Angeles,6
90304,Los Angeles,6
90401,Los Angeles,6
90402,Los Angeles,6
90403,Los Angeles,6
90404,Los Angeles,6
90405,Los Angeles,6
90501,Los Angeles,6
90502,Los Angeles,6
90503,Los Angeles,6
90504,Los Angeles,6
90505,Los Angeles,6
90710,Los Angeles,6
90717,Los Angeles,6
90731,Los Angeles,6
90732,Los Angeles,6
90744,Los Angeles,6
90745,Los Angeles,6
90746,Los Angeles,6
90755,Los Angeles,6
90802,Los Angeles,6
90803,Los Angeles,6
90804,Los Angeles,6
90806,Los Angeles,6
90807,Los Angeles,6
90810,Los Angeles,6
90813,Los Angeles,6
90814,Los Angeles,6
90815,Los Angeles,6
90840,Los Angeles,6
91301,Los Angeles,6
91302,Los Angeles,6
90680,Orange,6
90720,Orange,6
90740,Orange,6
90742,Orange,6
90743,Orange,6
92603,Orange,6
92612,Orange,6
92614,Orange,6
92617,Orange,6
92624,Orange,6
92625,Orange,6
92626,Orange,6
92627,Orange,6
92629,Orange,6
92637,Orange,6
92646,Orange,6
92647,Orange,6
92648,Orange,6
92649,Orange,6
92651,Orange,6
92653,Orange,6
92655,Orange,6
92656,Orange,6
92657,Orange,6
92660,Orange,6
92661,Orange,6
92662,Orange,6
92663,Orange,6
92672,Orange,6
92673,Orange,6
92675,Orange,6
92677,Orange,6
92683,Orange,6
92691,Orange,6
92692,Orange,6
92697,Orange,6
92703,Orange,6
92704,Orange,6
92707,Orange,6
92708,Orange,6
92841,Orange,6
92843,Orange,6
92844,Orange,6
92845,Orange,6
92672,San Diego,6
93013,Santa Barbara,6
93067,Santa Barbara,6
93101,Santa Barbara,6
93103,Santa Barbara,6
93105,Santa Barbara,6
93106,Santa Barbara,6
93108,Santa Barbara,6
93109,Santa Barbara,6
93110,Santa Barbara,6
93111,Santa Barbara,6
93117,Santa Barbara,6
93436,Santa Barbara,6
90265,Ventura,6
91320,Ventura,6
91361,Ventura,6
93001,Ventura,6
93003,Ventura,6
93004,Ventura,6
93010,Ventura,6
93012,Ventura,6
93013,Ventura,6
93021,Ventura,6
93023,Ventura,6
93030,Ventura,6
93033,Ventura,6
93035,Ventura,6
93036,Ventura,6
93041,Ventura,6
93042,Ventura,6
93043,Ventura,6
93060,Ventura,6
93066,Ventura,6
92672,Orange,7
92675,Orange,7
92530,Riverside,7
92562,Riverside,7
91902,San Diego,7
91910,San Diego,7
91911,San Diego,7
91913,San Diego,7
91914,San Diego,7
91915,San Diego,7
91932,San Diego,7
91935,San Diego,7
91941,San Diego,7
91942,San Diego,7
91945,San Diego,7
91950,San Diego,7
91977,San Diego,7
92003,San Diego,7
92007,San Diego,7
92008,San Diego,7
92009,San Diego,7
92010,San Diego,7
92011,San Diego,7
92014,San Diego,7
92020,San Diego,7
92024,San Diego,7
92028,San Diego,7
92029,San Diego,7
92037,San Diego,7
92054,San Diego,7
92055,San Diego,7
92056,San Diego,7
92057,San Diego,7
92058,San Diego,7
92067,San Diego,7
92071,San Diego,7
92075,San Diego,7
92078,San Diego,7
92081,San Diego,7
92083,San Diego,7
92084,San Diego,7
92091,San Diego,7
92101,San Diego,7
92102,San Diego,7
92103,San Diego,7
92104,San Diego,7
92105,San Diego,7
92106,San Diego,7
92107,San Diego,7
92108,San Diego,7
92109,San Diego,7
92110,San Diego,7
92111,San Diego,7
92113,San Diego,7
92114,San Diego,7
92115,San Diego,7
92116,San Diego,7
92117,San Diego,7
92118,San Diego,7
92119,San Diego,7
92120,San Diego,7
92121,San Diego,7
92122,San Diego,7
92123,San Diego,7
92124,San Diego,7
92126,San Diego,7
92127,San Diego,7
92128,San Diego,7
92129,San Diego,7
92130,San Diego,7
92131,San Diego,7
92133,San Diego,7
92134,San Diego,7
92135,San Diego,7
92136,San Diego,7
92139,San Diego,7
92140,San Diego,7
92145,San Diego,7
92152,San Diego,7
92154,San Diego,7
92155,San Diego,7
92173,San Diego,7
92182,San Diego,7
92672,San Diego,7
90001,Los Angeles,8
90002,Los Angeles,8
90003,Los Angeles,8
90007,Los Angeles,8
90008,Los Angeles,8
90011,Los Angeles,8
90015,Los Angeles,8
90016,Los Angeles,8
90018,Los Angeles,8
90021,Los Angeles,8
90023,Los Angeles,8
90034,Los Angeles,8
90037,Los Angeles,8
90040,Los Angeles,8
90043,Los Angeles,8
90044,Los Angeles,8
90045,Los Angeles,8
90047,Los Angeles,8
90056,Los Angeles,8
90058,Los Angeles,8
90059,Los Angeles,8
90061,Los Angeles,8
90062,Los Angeles,8
90064,Los Angeles,8
90089,Los Angeles,8
90201,Los Angeles,8
90220,Los Angeles,8
90221,Los Angeles,8
90222,Los Angeles,8
90230,Los Angeles,8
